resource_id,osm_id
1,27561299
1,239440322
1,77602813
1,2278960580
1,218932326
1,164344748
1,161773745
1,239127026
1,221552585
1,457032496
1,3205367
2,239440322
2,12009092577
2,27561299
2,25906386
2,2518957272
2,500004619
2,557779543
2,218932326
2,161305571
2,221492099
2,2278960580
2,164344748
2,279294217
2,144820338
2,221552585
2,5942592985
2,134442351
2,499993801
2,16134881
2,8455122971
2,25188564
3,218932326
3,221552585
3,27561299
3,165353429
3,152204306
3,279294217
3,557944917
4,9088101968
4,218932326
4,27561299
4,112588888
4,279294217
4,144820338
4,499993801
4,47203
4,282460231
4,5942592985
4,51676862
5,239440322
5,218932326
5,221552585
5,499993801
5,591413935
5,279294217
5,25906386
5,412821
6,6224130
6,24895171
6,102310879
6,888374936
6,97550753
6,211751830
6,842133008
7,152266832
7,272338771
7,191109552
7,527880834
7,40885478
7,692244449
7,41964731
7,3966735015
7,8891086186
8,47252
8,223161029
8,10727394
8,619865887
8,2453992857
8,2749545381
8,224082205
9,14517899
9,606939921
9,9795244
9,2460530881
10,4702284
10,272338771
10,764655793
10,25188564
10,2453992857
10,2269292
10,58149407
11,241142172
11,6668800
11,2141596
12,239440322
12,137323018
12,239127026
12,221552585
12,2301088436
12,218932326
12,27561299
12,499993801
12,221492099
13,6060186
13,25188564
13,499993801
13,112588888
13,259022256
13,557788693
14,6028416532
14,3581774
14,4421947
14,373272472
14,7633165
14,3205367
14,102329273
15,218932326
15,279294217
15,144820338
16,16134881
16,14119655
17,14517899
17,25188564
17,764655793
17,457032496
17,2460530881
17,1434128515
17,2749674147
17,42108886
18,239440322
18,30336158
18,27561299
18,221492099
19,418823736
19,23594307
19,69315539
19,343906867
19,1297402270
20,983124134
20,655228960
20,29494632
20,2426731321
20,42316314
20,223530229
20,150551160
20,321223196
20,362253228
20,218932326
20,4244216790
21,300520844
21,3205367
21,41877347
21,121839252
21,1290741187
21,97943389
21,237016903
21,356953025
21,14517899
21,9556683081
21,118608749
21,25188564
21,200789472
22,527880834
22,457032496
22,40885478
22,2749674147
22,121290937
22,9812706285
22,14517899
22,3205367
22,386054113
22,25188564
22,3173990
22,7761714495
22,1623822124
22,10983867478
22,236276410
22,9795244
22,102329273
22,983124134
22,150551160
22,33094226
22,10825181
22,100878076
22,14119655
22,4244216790
23,239440322
23,218932326
23,500004619
23,768139533
24,831340661
24,1297402270
24,2755811424
24,831340674
25,221552585
25,2301088436
25,221492099
25,134442351
25,10855612344
26,11314101288
26,500004622
26,4728979210
26,166706010
26,9235196671
27,842133008
27,412821
27,551646739
27,556364624
28,361227677
28,457032496
28,14517899
28,25188564
28,15452009
28,3686635068
28,118608749
28,457032496
28,312683469
28,99343072
29,342950166
29,239440322
29,218932326
29,27561299
29,499993801
29,412821
29,221552585
29,235586193
29,221492099
29,2518957272
29,362253228
29,25188564
30,27561299
30,164344748
30,77602813
30,239127026
30,218932326
31,69323571
31,579971438
31,12160592173
31,112513247
31,14119655
31,14517899
31,33094226
31,221552585
31,235586193
31,125147364
31,59075540
31,164433883
31,239127026
31,43029974
31,559993374
31,51679253
31,734956527
31,4421947
31,1297402270
31,8441264653
31,299856749
31,167238823
31,2403497008
